_id,business_status,geometry.location.lat,geometry.location.lng,name,place_id,rating,types,user_ratings_total,vicinity
5f7dfbe4f9ea96e61672dcd2,OPERATIONAL,-33.87923140000001,151.2072715,Chamberlain Hotel (C-Bar),ChIJr6CHJyOuEmsRaQLUpxdoTgk,4.1,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",279,"428 Pitt Street, Sydney"
5f7dfbe4f9ea96e61672dcd3,OPERATIONAL,-33.8621793,151.2108864,Cafe Sydney,ChIJOahrAxKuEmsRiJOniUNkOZY,4.4,"[""cafe"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",2042,"5 Sydney Customs House, 31 Alfred Street, Sydney"
5f7dfbe4f9ea96e61672dcd4,OPERATIONAL,-33.8654205,151.2084684,The Grand Hotel,ChIJydDNtkGuEmsRACYpPzuLkII,3.8,"[""lodging"",""bar"",""point_of_interest"",""establishment""]",521,"30 Hunter Street, Sydney"
5f7dfbe4f9ea96e61672dcd5,OPERATIONAL,-33.869365,151.220224,Sienna Marina,ChIJqbr_Dm2uEmsRzo2a34if8JI,4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",291,"6/7-41 Cowper Wharf Roadway, Woolloomooloo"
5f7dfbe4f9ea96e61672dcd6,OPERATIONAL,-33.8683472,151.1962233,Flying Fish,ChIJm7Ex8UmuEmsR37p4Hm0D0VI,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",689,"80 Pyrmont Street, Pyrmont"
5f7dfbe4f9ea96e61672dcd7,OPERATIONAL,-33.87212499999999,151.205429,"Grandma's Bar",ChIJHTFxuz6uEmsRJmbnZ0N16OE,4.5,"[""bar"",""point_of_interest"",""establishment""]",730,"Basement/275 Clarence Street, Sydney"
5f7dfbe4f9ea96e61672dcd8,OPERATIONAL,-33.8726326,151.2224665,Ms.G’s,ChIJm0rwUA2uEmsRXLmNZMkQHyk,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",995,"155 Victoria Street, Potts Point"
5f7dfbe4f9ea96e61672dcd9,OPERATIONAL,-33.8758226,151.2148976,Verde Restaurant,ChIJ1dtxoxauEmsR0JNzTJJ32II,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",148,"115 Riley Street, Darlinghurst"
5f7dfbe4f9ea96e61672dcda,OPERATIONAL,-33.8832789,151.2166425,The Beresford,ChIJSevoKhquEmsR6DYpvkUsgr0,4.2,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",2266,"354 Bourke Street, Surry Hills"
5f7dfbe4f9ea96e61672dcdb,OPERATIONAL,-33.8698016,151.2205449,The Tilbury Hotel,ChIJ70-WHm2uEmsRQJ9NjYZ9QOQ,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",612,"12-18 Nicholson Street, Woolloomooloo"
5f7dfbe4f9ea96e61672dcdc,OPERATIONAL,-33.8586556,151.2074333,The Glenmore Hotel,ChIJz66NJ0OuEmsRRA_Dvawy8kI,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",2886,"96 Cumberland Street, The Rocks"
5f7dfbe4f9ea96e61672dcdd,OPERATIONAL,-33.8686329,151.2034689,El Loco at Slip Inn,ChIJb80OxziuEmsR6n7WTeJYBE4,3.9,"[""bar"",""point_of_interest"",""establishment""]",1093,"111 Sussex Street, Sydney"
5f7dfbe4f9ea96e61672dcde,OPERATIONAL,-33.8666424,151.2036552,The Captains Balcony,ChIJ2eAQUEeuEmsRcLznK5EjcsA,4.5,"[""bar"",""night_club"",""restaurant"",""food"",""point_of_interest"",""establishment""]",461,"46 Erskine Street, Sydney"
5f7dfbe4f9ea96e61672dcdf,OPERATIONAL,-33.864967,151.207785,O Bar and Dining,ChIJnzttoEGuEmsRjBEqGkOTGG8,4.4,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",2659,"Australia Square, 264, level 47 George Street, Sydney"
5f7dfbe4f9ea96e61672dce0,OPERATIONAL,-33.87344629999999,151.2245621,Empire Hotel,ChIJNYU9JA2uEmsRsR63nTZAcbE,3.8,"[""bar"",""point_of_interest"",""establishment""]",154,"32 Darlinghurst Road, Potts Point"
5f7dfbe4f9ea96e61672dce1,CLOSED_TEMPORARILY,-33.8717,151.2077593,Zeta Bar,ChIJodn99D6uEmsRqGYZbqVW-go,3.9,"[""bar"",""point_of_interest"",""establishment""]",314,"level 4/488 George Street, Sydney"
